课程编号,学院,课程名称,班级,学分,学时,主讲教师,教室1,星期几1,节次1,周次1,教室2,星期几2,节次2,周次2,教室3,星期几3,节次3,周次3,教室4,星期几4,节次4,周次4,教室5,星期几5,节次5,周次5,教室6,星期几6,节次6,周次6,教室7,星期几7,节次7,周次7,教室8,星期几8,节次8,周次8,教室9,星期几9,节次9,周次9,教室10,星期几10,节次10,周次10,教室11,星期几11,节次11,周次11,教室12,星期几12,节次12,周次12,教室13,星期几13,节次13,周次13
123060,外国语学院,外国语言文学研究方法,1班,3.0,48,高洋,创新港校区-5-2031,4,2-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123066,外国语学院,西方文学理论,1班,2.0,32,臧小佳,创新港校区-5-2099,1,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123068,外国语学院,理解当代中国：日语演讲与写作,1班,2.0,32,张伟莉,创新港校区-5-2041,2,1-2,1-8,创新港校区-5-2041,5,1-2,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123072,外国语学院,国际中文教育概论,1班,2.0,32,李馨郁,创新港校区-5-2085,4,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123073,外国语学院,第二语言习得,1班,2.0,32,卢燕华,创新港校区-5-2087,3,7-8,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123076,外国语学院,跨文化交际导论,1班,1.0,16,李蓓岚,创新港校区-5-2046,5,1-2,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123077,外国语学院,汉语语言学,1班,2.0,32,庞加光,创新港校区-5-2058,2,7-8,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123085,外国语学院,中外文化交流史,1班,1.0,16,许明,创新港校区-5-2060,5,3-4,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123086,外国语学院,陕西文化概况,1班,1.0,16,李蓓岚,创新港校区-5-2046,5,3-4,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131001,生命科学与技术学院,生命分析技术,1班,3.0,48,赵永席,创新港校区-5-6045,3,3-4,9-16,创新港校区-5-6045,3,7-10,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132002,生命科学与技术学院,生物医学超声（校企）,1班,2.0,40,万明习,创新港校区-18-2071,3,3-4,9-18,创新港校区-18-2071,3,7-8,9-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132007,生命科学与技术学院,康复工程导论,1班,2.0,32,刘天,创新港校区-18-2071,5,3-4,1-8,创新港校区-18-2071,5,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132014,生命科学与技术学院,软组织生物力学,1班,2.0,40,徐峰,创新港校区-18-2071,1,3-4,9-17,创新港校区-18-2071,1,7-8,9-17,创新港校区-18-2071,2,3-4,17-17,创新港校区-18-2071,2,7-8,17-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132021,生命科学与技术学院,感觉与运动控制的神经基础 （1）,1班,2.0,32,李延海,创新港校区-18-2065,2,3-4,9-16,创新港校区-18-2065,2,7-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132023,生命科学与技术学院,生物医学物理学,1班,2.0,32,张思远,创新港校区-18-2065,5,3-4,1-8,创新港校区-18-2065,5,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132024,生命科学与技术学院,高级生物医学电子学,1班,2.0,32,张思远,创新港校区-5-6045,4,3-4,1-8,创新港校区-5-6045,4,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132025,生命科学与技术学院,生物系统建模与仿真（AI进阶）,1班,2.0,32,吴亮,创新港校区-18-2065,5,3-4,9-16,创新港校区-18-2065,5,7-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132028,生命科学与技术学院,生物材料与组织工程,1班,2.0,32,马玉菲,创新港校区-18-2065,5,1-2,9-16,创新港校区-18-2065,5,5-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132030,生命科学与技术学院,生物医学传感器前沿及进展,1班,2.0,32,姚翠萍,创新港校区-18-2067,1,3-4,9-16,创新港校区-18-2067,1,7-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132037,生命科学与技术学院,人工神经网络及应用（AI进阶）,1班,2.0,32,徐进,创新港校区-5-5045,5,3-4,1-8,创新港校区-5-5045,5,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132039,生命科学与技术学院,光学成像（校企）,1班,2.0,32,姚翠萍,创新港校区-18-2065,1,1-2,1-8,创新港校区-18-2065,1,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132042,生命科学与技术学院,医学图像信息分析（AI进阶）,1班,2.0,40,张红梅,创新港校区-18-2065,4,3-4,9-17,创新港校区-18-2065,4,7-8,9-17,创新港校区-18-2065,4,9-10,15-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132045,生命科学与技术学院,细胞物理生物学,1班,2.0,32,张建保,创新港校区-18-2069,5,3-4,9-16,创新港校区-18-2069,5,7-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132048,生命科学与技术学院,Advanced Biochemistry,1班,2.0,32,吴静,创新港校区-5-7045,1,1-2,1-8,创新港校区-5-7045,1,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132061,生命科学与技术学院,基因信息与分子人类学,1班,2.0,32,张虎勤,创新港校区-18-2065,2,1-2,9-16,创新港校区-18-2065,2,5-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132065,生命科学与技术学院,纳米生物技术（混合）,1班,2.0,32,李剑君,创新港校区-18-2065,2,2-4,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132067,生命科学与技术学院,Advanced Molecular Cell Biology,1班,2.0,32,许丹,创新港校区-18-2071,4,3-4,1-8,创新港校区-18-2071,4,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132070,生命科学与技术学院,生物医学工程综合实验,1班,2.0,32,黄子罡,创新港校区-19-2092,2,5-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132073,生命科学与技术学院,分子生物学前沿,1班,2.0,32,徐华栋,创新港校区-5-6045,2,1-2,1-8,创新港校区-5-6045,2,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132074,生命科学与技术学院,神经科学与神经工程,1班,2.0,32,黄子罡,创新港校区-18-2065,5,1-2,1-8,创新港校区-18-2065,5,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132084,生命科学与技术学院,MATLAB数值方法在生物医学工程中的应用,1班,2.0,32,李津,创新港校区-5-2027,2,1-2,1-8,创新港校区-5-2027,2,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132091,生命科学与技术学院,超低功耗生物医学信号处理,1班,2.0,32,陈翔,创新港校区-18-2071,5,1-2,9-16,创新港校区-18-2071,5,5-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132093,生命科学与技术学院,电化学与生物传感,1班,2.0,32,李菲,创新港校区-18-2065,1,1-2,9-16,创新港校区-18-2065,1,5-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132094,生命科学与技术学院,生物医学传感技术,1班,2.0,32,魏晶,创新港校区-5-5045,2,1-2,9-16,创新港校区-5-5045,2,5-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133002,生命科学与技术学院,营养学,1班,2.0,32,张雅利,创新港校区-18-2067,2,3-4,9-16,创新港校区-18-2067,2,7-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133003,生命科学与技术学院,生物医药工程与实践（校企）,1班,2.0,32,李泽东,创新港校区-18-2067,5,1-4,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133006,生命科学与技术学院,Mitochondrial Biology and Medicine,1班,2.0,32,龙建纲,创新港校区-18-2067,5,1-2,1-8,创新港校区-18-2067,5,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133010,生命科学与技术学院,Biomedical Ultrasound,1班,2.0,32,钟徽,创新港校区-18-2071,2,3-4,9-16,创新港校区-18-2071,2,7-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133020,生命科学与技术学院,医疗器械研发（校企）,1班,2.0,32,李剑君,创新港校区-5-6045,1,9-10,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133022,生命科学与技术学院,医学人工智能（AI进阶）（混合）,1班,2.0,32,许夏瑜,创新港校区-5-2001,1,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133023,生命科学与技术学院,研究生论文写作指导（生命）（AI进阶）,1班,1.0,16,彭韵桦,创新港校区-5-1W105,3,1-2,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133024,生命科学与技术学院,微流控芯片技术（校企）,1班,2.0,32,杨清振,创新港校区-5-7045,2,3-4,1-8,创新港校区-5-7045,2,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133026,生命科学与技术学院,生物热力学与热生物学,1班,2.0,32,冯上升,创新港校区-18-2067,4,3-4,9-16,创新港校区-18-2067,4,7-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133028,生命科学与技术学院,体外诊断技术与设备（校企）,1班,2.0,32,游民黎,创新港校区-18-2071,5,1-2,1-8,创新港校区-18-2071,5,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133030,生命科学与技术学院,智能可穿戴健康监测（校企）（实践）（AI进阶）,1班,2.0,32,韩斐,创新港校区-5-7043,4,3-4,9-16,创新港校区-5-7043,4,7-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133042,生命科学与技术学院,如何做科研：AI for Science（AI进阶）,1班,2.0,32,徐峰,创新港校区-5-7043,4,1-2,9-16,创新港校区-5-7043,4,5-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133045,生命科学与技术学院,生理监护新器件与系统,1班,2.0,32,方云生,创新港校区-18-2067,4,3-4,1-8,创新港校区-18-2067,4,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133046,生命科学与技术学院,Biology of aging and neurodegeneration,1班,2.0,32,Mami Noda,创新港校区-18-2071,1,9-10,6-7,创新港校区-18-2071,2,9-10,6-7,创新港校区-18-2071,3,9-10,6-7,创新港校区-18-2071,4,9-10,6-7,创新港校区-18-2071,5,9-10,6-7,创新港校区-18-2071,6,3-6,6-7,创新港校区-18-2071,7,3-6,6-6,,,,,,,,,,,,,,,,,,,,,,,,
141003,马克思主义学院,新时代中国特色社会主义理论与实践,重修班,2.0,32,金新,创新港校区-5-1005,1,3-4,9-16,创新港校区-5-1005,3,3-4,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141004,马克思主义学院,马克思主义与社会科学方法论,1班,1.0,16,郑冬芳,兴庆校区-主楼D-104,1,5-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141004,马克思主义学院,马克思主义与社会科学方法论,2班,1.0,16,郑冬芳,兴庆校区-主楼D-104,1,7-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141004,马克思主义学院,马克思主义与社会科学方法论,3班,1.0,16,郑冬芳,创新港校区-5-5107,1,5-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141004,马克思主义学院,马克思主义与社会科学方法论,4班,1.0,16,郑冬芳,创新港校区-5-6106,1,5-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141004,马克思主义学院,马克思主义与社会科学方法论,5班,1.0,16,郑冬芳,创新港校区-5-5107,1,7-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141004,马克思主义学院,马克思主义与社会科学方法论,6班,1.0,16,郑冬芳,创新港校区-5-6106,1,7-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141004,马克思主义学院,马克思主义与社会科学方法论,7班,1.0,16,郑冬芳,创新港校区-5-6043,3,5-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141004,马克思主义学院,马克思主义与社会科学方法论,8班,1.0,16,郑冬芳,创新港校区-5-6106,3,5-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141004,马克思主义学院,马克思主义与社会科学方法论,9班,1.0,16,郑冬芳,创新港校区-5-6043,3,7-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141005,马克思主义学院,自然辩证法概论,重修班,1.0,16,王亮,创新港校区-5-6106,1,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141009,马克思主义学院,西方哲学史专题研究,1班,1.0,16,寇爱林,兴庆校区-主楼B-305,1,3-4,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,1班,2.0,32,田建军,创新港校区-4-2220,1,5-6,1-8,创新港校区-4-2220,3,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,2班,2.0,32,谷永鑫,创新港校区-20-3104,1,5-6,1-8,创新港校区-20-3104,3,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,3班,2.0,32,王欢,创新港校区-20-4104,1,5-6,1-8,创新港校区-20-4104,3,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,4班,2.0,32,邱雨,创新港校区-3-6001,1,5-6,1-8,创新港校区-5-4043,3,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,5班,2.0,32,赵军义,创新港校区-5-1E101,1,5-6,1-8,创新港校区-1-6066,3,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,6班,2.0,32,王永香,创新港校区-5-1W107,1,5-6,1-8,创新港校区-5-1W107,3,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,7班,2.0,32,冯峥,创新港校区-5-1W107,1,7-8,1-8,创新港校区-5-1W107,3,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,8班,2.0,32,陆卫明,创新港校区-1-4052,1,7-8,1-8,创新港校区-1-4052,3,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,9班,2.0,32,刘静,创新港校区-20-3104,1,7-8,1-8,创新港校区-20-3104,3,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,10班,2.0,32,邱雨,创新港校区-3-6001,1,7-8,1-8,创新港校区-5-4043,3,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,11班,2.0,32,辛文,创新港校区-5-1E101,1,7-8,1-8,创新港校区-1-6066,3,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,12班,2.0,32,王欢,创新港校区-20-4104,1,7-8,1-8,创新港校区-20-4104,3,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,13班,2.0,32,马小虎,创新港校区-5-3107,1,5-6,9-16,创新港校区-5-3107,3,5-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,14班,2.0,32,马小虎,创新港校区-5-3107,1,7-8,9-16,创新港校区-5-3107,3,7-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,15班,2.0,32,邓皎昱,兴庆校区-中2-3221,1,5-6,1-8,兴庆校区-中2-3221,3,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,16班,2.0,32,邓皎昱,兴庆校区-中2-3221,1,7-8,1-8,兴庆校区-中2-3221,3,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,17班,2.0,32,郭小铭,兴庆校区-主楼C-106,1,5-6,9-16,兴庆校区-主楼C-106,3,5-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,18班,2.0,32,郭小铭,兴庆校区-主楼C-106,1,7-8,9-16,兴庆校区-主楼C-106,3,7-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,19班,2.0,32,李朝鹏,雁塔校区-解剖楼-解北,5,5-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,20班,2.0,32,冯晔,雁塔校区-病理楼-病北,5,5-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,21班,2.0,32,李秀珍,雁塔校区-二院教学楼-第一教室,5,5-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,22班,2.0,32,高如,雁塔校区-解剖楼-解南,5,5-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,23班,2.0,32,武星星,雁塔校区-生化楼-生化,5,5-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,24班,2.0,32,曹芳,创新港校区-5-1005,1,5-6,9-16,创新港校区-5-1005,3,5-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141012,马克思主义学院,中国式现代化的理论与实践,25班,2.0,32,陆卫明,创新港校区-1-4052,1,5-6,1-8,创新港校区-1-4052,3,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,1班,1.0,16,樊晓燕,兴庆校区-主楼D-104,1,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,2班,1.0,16,樊晓燕,兴庆校区-主楼D-104,1,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,3班,1.0,16,梁军,兴庆校区-主楼D-105,3,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,4班,1.0,16,梁军,兴庆校区-主楼D-105,3,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,5班,1.0,16,刘婧鸣,创新港校区-5-1005,1,1-2,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,6班,1.0,16,李超阳,创新港校区-5-2025,1,1-2,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,7班,1.0,16,张科豪,创新港校区-5-3107,1,3-4,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,8班,1.0,16,刘婧鸣,创新港校区-5-1005,1,3-4,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,9班,1.0,16,吴鹏,创新港校区-5-4043,1,3-4,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,10班,1.0,16,李超阳,创新港校区-5-2025,1,3-4,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,11班,1.0,16,丁中正,创新港校区-5-1W101,1,3-4,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,12班,1.0,16,王亮,创新港校区-5-6106,1,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,13班,1.0,16,张科豪,创新港校区-5-3107,1,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,14班,1.0,16,叶妮,创新港校区-5-4106,1,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,15班,1.0,16,郭怡菲,创新港校区-5-5107,1,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,16班,1.0,16,马小虎,创新港校区-5-7107,1,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,17班,1.0,16,刘婧鸣,创新港校区-5-1005,1,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,18班,1.0,16,吴鹏,创新港校区-5-4043,1,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,19班,1.0,16,朱嘉玉,创新港校区-5-7043,1,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,20班,1.0,16,孟书敏,创新港校区-5-5043,1,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,21班,1.0,16,李超阳,创新港校区-5-2025,1,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,22班,1.0,16,丁中正,创新港校区-5-1W101,1,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,23班,1.0,16,刘小溪,创新港校区-5-6043,1,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,24班,1.0,16,张科豪,创新港校区-5-3107,1,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,25班,1.0,16,叶妮,创新港校区-5-4106,1,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,26班,1.0,16,郭怡菲,创新港校区-5-5107,1,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,27班,1.0,16,马小虎,创新港校区-5-7107,1,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,28班,1.0,16,刘婧鸣,创新港校区-5-1005,1,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,29班,1.0,16,吴鹏,创新港校区-5-4043,1,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,30班,1.0,16,朱嘉玉,创新港校区-5-7043,1,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,31班,1.0,16,孟书敏,创新港校区-5-5043,1,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141013,马克思主义学院,马克思主义与当代科技,32班,1.0,16,李超阳,创新港校区-5-2025,1,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
